"","year","oil_price_nom","oil_price_real"
"150",1861,0.49,11.84371818168
"149",1862,1.05,22.84145649324
"148",1863,3.15,55.560299578151
"147",1864,8.06,111.91619412493
"146",1865,6.59,93.493911981647
"145",1866,3.74,55.47210862644
"144",1867,2.41,37.447557924291
"143",1868,3.63,59.224633621758
"142",1869,3.64,59.387786882424
"141",1870,3.86,66.291745912712
"140",1871,4.34,78.67612792116
"139",1872,3.64,65.98642986936
"138",1873,1.83,33.17449633542
"137",1874,1.17,22.457566468144
"136",1875,1.35,26.6978062908
"135",1876,2.56,52.20904341312
"134",1877,2.42,49.353861351465
"133",1878,1.19,26.779638647247
"132",1879,0.86,20.044543453251
"131",1880,0.95,21.378703121752
"130",1881,0.86,19.353352299691
"129",1882,0.78,17.553040457859
"128",1883,1,23.307608666571
"127",1884,0.84,20.30351688288
"126",1885,0.88,21.27035102016
"125",1886,0.71,17.16130593672
"124",1887,0.67,16.19447179944
"123",1888,0.88,21.27035102016
"122",1889,0.94,22.72060222608
"121",1890,0.87,21.02864248584
"120",1891,0.67,16.19447179944
"119",1892,0.56,13.53567792192
"118",1893,0.64,15.46934619648
"117",1894,0.84,21.084421378375
"116",1895,1.36,35.502149520922
"115",1896,1.18,30.803335613741
"114",1897,0.79,20.622572148182
"113",1898,0.91,23.75511475297
"112",1899,1.29,33.674833001462
"111",1900,1.19,31.064380830806
"110",1901,0.96,25.060340838298
"109",1902,0.8,20.080401312738
"108",1903,0.94,22.72060222608
"107",1904,0.86,20.78693395152
"106",1905,0.62,14.98592912784
"105",1906,0.73,17.64472300536
"104",1907,0.72,16.781478239931
"103",1908,0.72,17.40301447104
"102",1909,0.7,16.9195974024
"101",1910,0.61,14.217641286609
"100",1911,0.61,14.217641286609
"99",1912,0.74,16.652884536943
"98",1913,0.95,20.874827964
"97",1914,0.81,17.5600932912
"96",1915,0.64,13.7364813312
"95",1916,1.1,21.952133632
"94",1917,1.56,26.5092423648
"93",1918,1.98,28.646670888
"92",1919,2.01,25.3289270424
"91",1920,3.07,33.3979584888
"90",1921,1.73,21.068679748
"89",1922,1.61,20.9308029392
"88",1923,1.34,17.1138634928
"87",1924,1.43,18.225883676
"86",1925,1.68,20.8847059008
"85",1926,1.88,23.1496099616
"84",1927,1.3,16.31385964
"83",1928,1.17,14.8814715816
"82",1929,1.27,16.1533922296
"81",1930,1.19,15.5328702704
"80",1931,0.65,9.302159932
"79",1932,0.87,13.8809870424
"78",1933,0.67,11.2670407424
"77",1934,1,16.27569984
"76",1935,0.97,15.4003576392
"75",1936,1.09,17.1439334152
"74",1937,1.18,17.9110762288
"73",1938,1.13,17.4773846504
"72",1939,1.02,16.002911784
"71",1940,1.02,15.8494439712
"70",1941,1.14,16.8738710592
"69",1942,1.19,15.9117207648
"68",1943,1.2,15.121747488
"67",1944,1.21,14.986552768
"66",1945,1.05,12.711792576
"65",1946,1.12,12.491992128
"64",1947,1.9,18.536068336
"63",1948,1.99,18.0124940744
"62",1949,1.78,16.2746967824
"61",1950,1.71,15.4780727976
"60",1951,1.71,14.3408017296
"59",1952,1.71,14.038772364
"58",1953,1.93,15.718675788
"57",1954,1.93,15.6429231336
"56",1955,1.93,15.7060503456
"55",1956,1.93,15.4787923824
"54",1957,1.9,14.703734136
"53",1958,2.08,15.6794475136
"52",1959,2.08,15.5433805696
"51",1960,1.9,13.974554872
"50",1961,1.8,13.10952672
"49",1962,1.8,12.968226432
"48",1963,1.8,12.81515112
"47",1964,1.8,12.63852576
"46",1965,1.8,12.426575328
"45",1966,1.8,12.08902464
"44",1967,1.8,11.747548944
"43",1968,1.8,11.276547984
"42",1969,1.8,10.699571808
"41",1970,1.8,10.102970592
"40",1971,2.24,12.0450645504
"39",1972,2.48,12.9300230208
"38",1973,3.29,16.1487694424
"37",1974,11.58,51.2340452592
"36",1975,11.53,46.7387117912
"35",1976,12.8,49.039922176
"34",1977,13.92,50.0527486848
"33",1978,14.02,46.888728834356
"32",1979,31.61,94.941462258953
"31",1980,36.83,97.463622330097
"30",1981,35.93,86.190891969197
"29",1982,32.97,74.500583626943
"28",1983,29.55,64.694325301205
"27",1984,28.78,60.40088238691
"26",1985,27.56,55.851518215613
"25",1986,14.43,28.709380291971
"24",1987,18.4350394,35.386187952521
"23",1988,14.9238417,27.508311291084
"22",1989,18.2261133,32.050914207619
"21",1990,23.7258203,39.583454256594
"20",1991,20.0033852,32.025390331653
"19",1992,19.3208366,30.028683860653
"18",1993,16.9716342,25.610841986956
"17",1994,15.8173152,23.273012707498
"16",1995,17.0166797,24.347697563407
"15",1996,20.6684884,28.724588314534
"14",1997,19.0925875,25.939272647352
"13",1998,12.7156615,17.010590699656
"12",1999,17.9700778,23.520307831673
"11",2000,28.4954492,36.083645010193
"10",2001,24.4438911,30.096765204413
"9",2002,25.0232558,30.330578469843
"8",2003,28.8307031,34.166890191161
"7",2004,38.265,44.17105791424
"6",2005,54.5210895,60.873787465499
"5",2006,65.1440625,70.461575855655
"4",2007,72.3890784,76.129645125399
"3",2008,97.2559728,98.499549030328
"2",2009,61.6712648,62.682844065261
"1",2010,79.4955336,79.4955336
"251",2011,111.264166666667,111.264166666667
"261",2012,111.651666666667,111.651666666667
"271",2013,108.6375,108.6375
