"","year","oil_price_nom","oil_price_real"
"152",1861,0.49,12.47040499782
"151",1862,1.05,24.05006678151
"150",1863,3.15,58.500162441511
"149",1864,8.06,117.83801717871
"148",1865,6.59,98.440956577733
"147",1866,3.74,58.40730504081
"146",1867,2.41,39.429021049959
"145",1868,3.63,62.358387440629
"144",1869,3.64,62.530173631926
"143",1870,3.86,69.799441937315
"142",1871,4.34,82.83911891409
"141",1872,3.64,69.47797070214
"140",1873,1.83,34.929858896955
"139",1874,1.17,23.645863978459
"138",1875,1.35,28.1104676667
"137",1876,2.56,54.97158121488
"136",1877,2.42,51.965322867191
"135",1878,1.19,28.196630019701
"134",1879,0.86,21.105160644999
"133",1880,0.95,22.50991472161
"132",1881,0.86,20.377396484826
"131",1882,0.78,18.481824718796
"130",1883,1,24.540884470929
"129",1884,0.84,21.37783713912
"128",1885,0.88,22.39582938384
"127",1886,0.71,18.06936234378
"126",1887,0.67,17.05137009906
"125",1888,0.88,22.39582938384
"124",1889,0.94,23.92281775092
"123",1890,0.87,22.14133132266
"122",1891,0.67,17.05137009906
"121",1892,0.56,14.25189142608
"120",1893,0.64,16.28787591552
"119",1894,0.84,22.200061644471
"118",1895,1.36,37.380675226118
"117",1896,1.18,32.433232916779
"116",1897,0.79,21.713774579878
"115",1898,0.91,25.01206945277
"114",1899,1.29,35.456669883598
"113",1900,1.19,32.708090822854
"112",1901,0.96,26.386358983142
"111",1902,0.8,21.142915851877
"110",1903,0.94,23.92281775092
"109",1904,0.86,21.88683326148
"108",1905,0.62,15.77887979316
"107",1906,0.73,18.57835846614
"106",1907,0.72,17.669436819069
"105",1908,0.72,18.32386040496
"104",1909,0.7,17.8148642826
"103",1910,0.61,14.969939527266
"102",1911,0.61,14.969939527266
"101",1912,0.74,17.534038835781
"100",1913,0.95,21.979378011
"99",1914,0.81,18.4892507388
"98",1915,0.64,14.4633199488
"97",1916,1.1,23.113687168
"96",1917,1.56,27.9119262552
"95",1918,1.98,30.162452562
"94",1919,2.01,26.6691568926
"93",1920,3.07,35.1651451062
"92",1921,1.73,22.183487077
"91",1922,1.61,22.0383147908
"90",1923,1.34,18.0194095772
"89",1924,1.43,19.190270099
"88",1925,1.68,21.9897786192
"87",1926,1.88,24.3745255784
"86",1927,1.3,17.17707511
"85",1928,1.17,15.6688950834
"84",1929,1.27,17.0081168854
"83",1930,1.19,16.3547612396
"82",1931,0.65,9.794365243
"81",1932,0.87,14.6154718926
"80",1933,0.67,11.8632138176
"79",1934,1,17.13689616
"78",1935,0.97,16.2152369658
"77",1936,1.09,18.0510705898
"76",1937,1.18,18.8588052412
"75",1938,1.13,18.4021657346
"74",1939,1.02,16.849674066
"73",1940,1.02,16.6880858088
"72",1941,1.14,17.7667184208
"71",1942,1.19,16.7536578552
"70",1943,1.2,15.921884712
"69",1944,1.21,15.779536432
"68",1945,1.05,13.384411824
"67",1946,1.12,13.152981072
"66",1947,1.9,19.516867564
"65",1948,1.99,18.9655894106
"64",1949,1.78,17.1358400276
"63",1950,1.71,16.2970642674
"62",1951,1.71,15.0996167604
"61",1952,1.71,14.781606111
"60",1953,1.93,16.550398287
"59",1954,1.93,16.4706373314
"58",1955,1.93,16.5371047944
"57",1956,1.93,16.2978219276
"56",1957,1.9,15.481753014
"55",1958,2.08,16.5090943264
"54",1959,2.08,16.3658276704
"53",1960,1.9,14.713990678
"52",1961,1.8,13.80319128
"51",1962,1.8,13.654414368
"50",1963,1.8,13.49323938
"49",1964,1.8,13.30726824
"48",1965,1.8,13.084102872
"47",1966,1.8,12.72869136
"46",1967,1.8,12.369147156
"45",1968,1.8,11.873224116
"44",1969,1.8,11.265718392
"43",1970,1.8,10.637549208
"42",1971,2.24,12.6824052096
"41",1972,2.48,13.6141894992
"40",1973,3.29,17.0032494926
"39",1974,11.58,53.9449929708
"38",1975,11.53,49.2117978638
"37",1976,12.8,51.634772224
"36",1977,13.92,52.7011904352
"35",1978,14.02,49.369752760736
"34",1979,31.61,99.965101101928
"33",1980,36.83,102.62071626214
"32",1981,35.93,90.751511771177
"31",1982,32.97,78.442633989637
"30",1983,29.55,68.117496987952
"29",1984,28.78,63.596875072185
"28",1985,27.56,58.806790334572
"27",1986,14.43,30.228480109489
"26",1987,18.4350394,37.258577781722
"25",1988,14.9238417,28.963858928739
"24",1989,18.2261133,33.746824653227
"23",1990,23.7258203,41.677934093024
"22",1991,20.0033852,33.719950232076
"21",1992,19.3208366,31.617592005277
"20",1993,16.9716342,26.965988806331
"19",1994,15.8173152,24.504457935417
"18",1995,17.0166797,25.636007605261
"17",1996,20.6684884,30.244492834351
"16",1997,19.0925875,27.311797722586
"15",1998,12.7156615,17.910672309393
"14",1999,17.9700778,24.764838189755
"13",2000,28.4954492,37.992939393872
"12",2001,24.4438911,31.689275738077
"11",2002,25.0232558,31.9354607679
"10",2003,28.8307031,35.974763301855
"9",2004,38.265,46.50828168343
"8",2005,54.5210895,64.094802983425
"7",2006,65.1440625,74.189910146949
"6",2007,72.3890784,80.157894040617
"5",2008,97.2559728,103.7114569655
"4",2009,61.6712648,65.999582218877
"3",2010,79.4955336,83.701881816407
"2",2011,111.255598,113.55797690579
"251",2011,111.264166666667,111.264166666667
"1",2012,111.66970238095,111.66970238095
"261",2012,111.651666666667,111.651666666667
"271",2013,108.6375,108.6375
