,index,name,year,year_prod,cum,investmentMillNOK,recoverable_oil,remaining_oil,oil_price_nom,oil_price_real,oil_price_real_l1,oil_price_real_l2,oil_price_real_l3,oil_price_real_l4,oil_price_real_l5,oil_price_real_l6,oil_price_real_l7,oil_price_real_l8,diff_oil_price,pos_price_diff,neg_price_diff,diff_oil_price_3yr,pos_diff_3yr,neg_diff_3yr,deflator,bond_index,init_year,tot.prod,producing_from,producing_to,approved_at,shutdown,investmentMillNOK_real,maxyear,producing_time,time_to_peak
0,0,33/9-6 DELTA,2009,0.01022,0.01022,,,,61.671264799999996,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,3.5974763301854997,3.19354607679,3.1689275738077,-3.7711874746623004,1e-07,37.711874746623,-8.19032792807201,1e-06,8.19032792807201,0.9833487352600001,1885.0,2009,0.10114,,,,,,2010,0,1
1,1,33/9-6 DELTA,2010,0.021330000000000002,0.03155,,,,79.49553359999999,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,3.5974763301854997,3.19354607679,1.7702299597529998,17.702299597529997,1e-07,3.54398777579,3.54398777579,1e-06,0.99972375346,2064.45,2009,0.10114,,,,,,2010,1,1
2,2,33/9-6 DELTA,2011,0.01889,0.05044,,,,111.25559799999999,11.355797690579,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,3.5974763301854997,2.9856095089383,29.856095089383,1e-07,9.84651994028999,9.84651994028999,1e-06,1.03495856434,2219.45,2009,0.10114,,,,,,2010,2,1
3,4,33/9-6 DELTA,2012,0.013369999999999998,0.06381,,,,111.66970238095,11.166970238095,11.126416666666701,11.355797690579,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,0.0405535714283332,0.405535714283332,1e-07,27.967820564543,27.967820564543,1e-06,1.0452581614799998,2449.56,2009,0.10114,,,,,,2010,3,1
4,6,33/9-6 DELTA,2013,0.00436,0.06817000000000001,,,,108.6375,10.86375,11.1651666666667,11.166970238095,11.126416666666701,11.355797690579,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,-0.301416666666667,1e-07,3.0141666666666698,-2.62666666666667,1e-06,2.62666666666667,1.06095752096,2413.9,2009,0.10114,,,,,,2010,4,1
5,7,33/9-6 DELTA,2014,0.0007099999999999999,0.06888,,,,,,,,,,,,,,,,,,,,1.08005677216,2424.99,2009,0.10114,,,,,,2010,5,1
11,14,ALBUSKJELL,1979,0.53117,0.53117,96.0,7.4,0.0,31.61,9.9965101101928,4.9369752760736,5.27011904352,5.163477222399999,4.92117978638,5.39449929708,1.7003249492599999,1.36141894992,1.26824052096,5.0595348341192,50.595348341192,1e-07,48.330328877928,48.330328877928,1e-06,0.28829332251999995,136.04,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,332.99418509195704,1980,0,1
12,15,ALBUSKJELL,1980,1.4416799999999999,1.97285,64.0,7.4,0.0,36.83,10.262071626214,9.9965101101928,4.9369752760736,5.27011904352,5.163477222399999,4.92117978638,5.39449929708,1.7003249492599999,1.36141894992,0.265561516021199,2.65561516021199,1e-07,49.91952582694,49.91952582694,1e-06,0.31537538189,136.77,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,202.932770517651,1980,1,1
13,16,ALBUSKJELL,1981,1.42624,3.39909,40.0,7.4,0.0,35.93,9.0751511771177,10.262071626214,9.9965101101928,4.9369752760736,5.27011904352,5.163477222399999,4.92117978638,5.39449929708,1.7003249492599999,-1.1869204490963,1e-07,11.869204490962998,41.381759010441,41.381759010441,1e-06,0.34808704605999996,139.91,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,114.91378507979601,1980,2,1
14,17,ALBUSKJELL,1982,0.9529299999999999,4.3520199999999996,232.0,7.4,0.0,32.97,7.8442633989637,9.0751511771177,10.262071626214,9.9965101101928,4.9369752760736,5.27011904352,5.163477222399999,4.92117978638,5.39449929708,-1.230887778154,1e-07,12.30887778154,-21.522467112291004,1e-06,21.522467112291004,0.38480464028000005,189.62,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,602.903332535666,1980,3,1
15,18,ALBUSKJELL,1983,0.6973600000000001,5.04938,263.0,7.4,0.0,29.55,6.811749698795201,7.8442633989637,9.0751511771177,10.262071626214,9.9965101101928,4.9369752760736,5.27011904352,5.163477222399999,4.92117978638,-1.0325137001684999,1e-07,10.325137001684999,-34.503219274188,1e-06,34.503219274188,0.41323660706999993,207.3,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,636.439259011362,1980,4,1
16,19,ALBUSKJELL,1984,0.46157,5.51095,0.0,7.4,0.0,28.78,6.3596875072185,6.811749698795201,7.8442633989637,9.0751511771177,10.262071626214,9.9965101101928,4.9369752760736,5.27011904352,5.163477222399999,-0.452062191576699,1e-07,4.5206219157669905,-27.154636698992,1e-06,27.154636698992,0.43686986038000003,240.9,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,0.0,1980,5,1
17,20,ALBUSKJELL,1985,0.3573,5.86825,0.0,7.4,0.0,27.56,5.8806790334572,6.3596875072185,6.811749698795201,7.8442633989637,9.0751511771177,10.262071626214,9.9965101101928,4.9369752760736,5.27011904352,-0.4790084737613,1e-07,4.790084737613,-19.635843655065,1e-06,19.635843655065,0.47093857886000007,301.98,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,0.0,1980,6,1
18,21,ALBUSKJELL,1986,0.28526999999999997,6.153519999999999,58.0,7.4,0.0,14.43,3.0228480109489,5.8806790334572,6.3596875072185,6.811749698795201,7.8442633989637,9.0751511771177,10.262071626214,9.9965101101928,4.9369752760736,-2.8578310225082997,1e-07,28.578310225082998,-37.889016878463,1e-06,37.889016878463,0.5041569204899999,351.2,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,115.043546250696,1980,7,1
19,22,ALBUSKJELL,1987,0.21581,6.369330000000001,5.0,7.4,0.0,18.435039399999997,3.7258577781722004,3.0228480109489,5.8806790334572,6.3596875072185,6.811749698795201,7.8442633989637,9.0751511771177,10.262071626214,9.9965101101928,0.7030097672233,7.0300976722329995,1e-07,-26.338297290463,1e-06,26.338297290463,0.5532917038399999,357.67,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,9.036824454982051,1980,8,1
20,23,ALBUSKJELL,1988,0.17557,6.5449,5.0,7.4,0.0,14.923841699999999,2.8963858928739,3.7258577781722004,3.0228480109489,5.8806790334572,6.3596875072185,6.811749698795201,7.8442633989637,9.0751511771177,10.262071626214,-0.8294718852983001,1e-07,8.294718852983001,-29.842931405833003,1e-06,29.842931405833003,0.5998895590300001,392.57,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,8.334867518089201,1980,9,1
21,24,ALBUSKJELL,1989,0.1415,6.6864,14.0,7.4,0.0,18.2261133,3.3746824653227003,2.8963858928739,3.7258577781722004,3.0228480109489,5.8806790334572,6.3596875072185,6.811749698795201,7.8442633989637,9.0751511771177,0.47829657244880003,4.782965724488,1e-07,3.518344543738,3.518344543738,1e-06,0.62060750447,447.98,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,22.5585412666836,1980,10,1
22,25,ALBUSKJELL,1990,0.10895,6.79535,8.0,7.4,0.0,23.725820300000002,4.1677934093024,3.3746824653227003,2.8963858928739,3.7258577781722004,3.0228480109489,5.8806790334572,6.3596875072185,6.811749698795201,7.8442633989637,0.7931109439797,7.931109439797,1e-07,4.419356311302001,4.419356311302001,1e-06,0.61968307593,481.0,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,12.909824893949,1980,11,1
23,26,ALBUSKJELL,1991,0.09085,6.8862,4.0,7.4,0.0,20.003385199999997,3.3719950232076004,4.1677934093024,3.3746824653227003,2.8963858928739,3.7258577781722004,3.0228480109489,5.8806790334572,6.3596875072185,6.811749698795201,-0.7957983860947999,1e-07,7.957983860948,4.756091303337,4.756091303337,1e-06,0.62105428404,568.73,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,6.440660829162519,1980,12,1
24,27,ALBUSKJELL,1992,0.0868,6.973,10.0,7.4,0.0,19.3208366,3.1617592005277,3.3719950232076004,4.1677934093024,3.3746824653227003,2.8963858928739,3.7258577781722004,3.0228480109489,5.8806790334572,6.3596875072185,-0.2102358226799,1e-07,2.1023582267989998,-2.12923264795,1e-06,2.12923264795,0.62557077626,620.59,1979,7.3540600000000005,1979-05-26 00:00:00,1998-08-26 00:00:00,1975-04-25,1998-08-26,15.9854014597443,1980,13,1
