"","name","year","year_prod","cum","investmentMillNOK","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real"
"1","33/9-6 DELTA",2009,0.01022,0.01022,NA,NA,NA,61.6712648,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,-37.711874746623,1e-07,37.711874746623,-8.19032792807201,1e-06,8.19032792807201,0.98334873526,1885,2009,0.10114,NA,NA,NA,NA,NA
"2","33/9-6 DELTA",2010,0.02133,0.03155,NA,NA,NA,79.4955336,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,17.70229959753,17.70229959753,1e-07,3.54398777579,3.54398777579,1e-06,0.99972375346,2064.45,2009,0.10114,NA,NA,NA,NA,NA
"3","33/9-6 DELTA",2011,0.01889,0.05044,NA,NA,NA,111.255598,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,29.856095089383,29.856095089383,1e-07,9.84651994028999,9.84651994028999,1e-06,1.03495856434,2219.45,2009,0.10114,NA,NA,NA,NA,NA
"4","33/9-6 DELTA",2011,0.01889,0.05044,NA,NA,NA,111.264166666667,111.264166666667,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,-2.29381023912333,1e-07,2.29381023912333,45.2645844477897,45.2645844477897,1e-06,1.03495856434,2219.45,2009,0.10114,NA,NA,NA,NA,NA
"5","33/9-6 DELTA",2012,0.01337,0.06381,NA,NA,NA,111.66970238095,111.66970238095,111.264166666667,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,0.405535714283332,0.405535714283332,1e-07,27.967820564543,27.967820564543,1e-06,1.04525816148,2449.56,2009,0.10114,NA,NA,NA,NA,NA
"6","33/9-6 DELTA",2012,0.01337,0.06381,NA,NA,NA,111.651666666667,111.651666666667,111.66970238095,111.264166666667,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,-0.0180357142833287,1e-07,0.0180357142833287,-1.90631023912333,1e-06,1.90631023912333,1.04525816148,2449.56,2009,0.10114,NA,NA,NA,NA,NA
"7","33/9-6 DELTA",2013,0.00436,0.06817,NA,NA,NA,108.6375,108.6375,111.651666666667,111.66970238095,111.264166666667,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,-3.01416666666667,1e-07,3.01416666666667,-2.62666666666667,1e-06,2.62666666666667,1.06095752096,2413.9,2009,0.10114,NA,NA,NA,NA,NA
"8","33/9-6 DELTA",2014,0.00071,0.06888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08005677216,2424.99,2009,0.10114,NA,NA,NA,NA,NA
"9","AASTA HANSTEEN",2013,NA,NA,3981,0,0,108.6375,108.6375,111.651666666667,111.66970238095,111.264166666667,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,-3.01416666666667,1e-07,3.01416666666667,-2.62666666666667,1e-06,2.62666666666667,1.06095752096,2413.9,2013,0,NA,NA,2013-06-07,NA,3752.27086980619
"15","ALBUSKJELL",1974,NA,NA,116,7.4,0,11.58,53.9449929708,17.0032494926,13.6141894992,12.6824052096,10.637549208,11.265718392,11.873224116,12.369147156,12.72869136,36.9417434782,36.9417434782,1e-07,41.2625877612,41.2625877612,1e-06,0.18944916643,97.16,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,612.301453661244
