"","name","year","year_prod","cum","investmentMillNOK","lon","lat","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real"
"1","33/9-6 DELTA",2009,0.01022,0.01022,NA,NA,NA,NA,NA,61.6712648,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,-35.816704965067,1e-07,35.816704965067,-7.778731790394,1e-06,7.778731790394,0.98334873526,1885,2009,0.06743,NA,NA,NA,NA,NA
"2","33/9-6 DELTA",2010,0.02133,0.03155,NA,NA,NA,NA,NA,79.4955336,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,16.812689534739,16.812689534739,1e-07,3.36588847460101,3.36588847460101,1e-06,0.99972375346,2064.45,2009,0.06743,NA,NA,NA,NA,NA
"3","33/9-6 DELTA",2011,0.01889,0.05044,NA,NA,NA,NA,NA,111.264166666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,31.7686330666667,31.7686330666667,1e-07,12.7646176363387,12.7646176363387,1e-06,1.03495856434,2219.45,2009,0.06743,NA,NA,NA,NA,NA
"4","33/9-6 DELTA",2012,0.01337,0.06381,NA,NA,NA,NA,NA,111.651666666667,111.651666666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,0.387500000000003,0.387500000000003,1e-07,48.9688226014057,48.9688226014057,1e-06,1.04525816148,2449.56,2009,0.06743,NA,NA,NA,NA,NA
"5","33/9-6 DELTA",2013,0.00362,0.06743,NA,NA,NA,NA,NA,108.6375,108.6375,111.651666666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,-3.01416666666667,1e-07,3.01416666666667,29.1419664,29.1419664,1e-06,1.06095752096,2413.9,2009,0.06743,NA,NA,NA,NA,NA
"14","ALBUSKJELL",1974,NA,NA,116,2.99301856064265,56.6307886616647,7.4,0,11.58,51.2340452592,16.1487694424,12.9300230208,12.0450645504,10.102970592,10.699571808,11.276547984,11.747548944,12.08902464,35.0852758168,35.0852758168,1e-07,39.1889807088,39.1889807088,1e-06,0.18944916643,97.16,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,612.301453661244
"39","ALBUSKJELL",1975,NA,NA,319,2.99301856064265,56.6307886616647,7.4,0,11.53,46.7387117912,51.2340452592,16.1487694424,12.9300230208,12.0450645504,10.102970592,10.699571808,11.276547984,11.747548944,-4.49533346800001,1e-07,4.49533346800001,33.8086887704,33.8086887704,1e-06,0.21591837017,112.42,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,1477.41018862286
"43","ALBUSKJELL",1976,NA,NA,879,2.99301856064265,56.6307886616647,7.4,0,12.8,49.039922176,46.7387117912,51.2340452592,16.1487694424,12.9300230208,12.0450645504,10.102970592,10.699571808,11.276547984,2.3012103848,2.3012103848,1e-07,32.8911527336,32.8911527336,1e-06,0.23929077549,133.56,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,3673.35513957885
"38","ALBUSKJELL",1977,NA,NA,398,2.99301856064265,56.6307886616647,7.4,0,13.92,50.0527486848,49.039922176,46.7387117912,51.2340452592,16.1487694424,12.9300230208,12.0450645504,10.102970592,10.699571808,1.0128265088,1.0128265088,1e-07,-1.1812965744,1e-06,1.1812965744,0.26271777079,138.64,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,1514.93368264812
"30","ALBUSKJELL",1978,NA,NA,235,2.99301856064265,56.6307886616647,7.4,0,14.02,46.888728834356,50.0527486848,49.039922176,46.7387117912,51.2340452592,16.1487694424,12.9300230208,12.0450645504,10.102970592,-3.164019850444,1e-07,3.164019850444,0.150017043156005,0.150017043156005,1e-06,0.27798832517,139.11,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,845.359242537574
