Year,$ of the Day,$ 2010
1/1/10,79.4955336,79.4955336
1/1/09,61.6712648,62.68284407
1/1/08,97.2559728,98.49954903
1/1/07,72.3890784,76.12964513
1/1/06,65.1440625,70.46157586
1/1/05,54.5210895,60.87378747
1/1/04,38.265,44.17105791
1/1/03,28.8307031,34.16689019
1/1/02,25.0232558,30.33057847
1/1/01,24.4438911,30.0967652
1/1/00,28.4954492,36.08364501
1/1/99,17.9700778,23.52030783
1/1/98,12.7156615,17.0105907
1/1/97,19.0925875,25.93927265
1/1/96,20.6684884,28.72458831
1/1/95,17.0166797,24.34769756
1/1/94,15.8173152,23.27301271
1/1/93,16.9716342,25.61084199
1/1/92,19.3208366,30.02868386
1/1/91,20.0033852,32.02539033
1/1/90,23.7258203,39.58345426
1/1/89,18.2261133,32.05091421
1/1/88,14.9238417,27.50831129
1/1/87,18.4350394,35.38618795
1/1/86,14.43,28.70938029
1/1/85,27.56,55.85151822
1/1/84,28.78,60.40088239
1/1/83,29.55,64.6943253
1/1/82,32.97,74.50058363
1/1/81,35.93,86.19089197
1/1/80,36.83,97.46362233
1/1/79,31.61,94.94146226
1/1/78,14.02,46.88872883
1/1/77,13.92,50.05274868
1/1/76,12.8,49.03992218
1/1/75,11.53,46.73871179
1/1/74,11.58,51.23404526
1/1/73,3.29,16.14876944
1/1/72,2.48,12.93002302
1/1/71,2.24,12.04506455
1/1/70,1.8,10.10297059
1/1/69,1.8,10.69957181
1/1/68,1.8,11.27654798
1/1/67,1.8,11.74754894
1/1/66,1.8,12.08902464
1/1/65,1.8,12.42657533
1/1/64,1.8,12.63852576
1/1/63,1.8,12.81515112
1/1/62,1.8,12.96822643
1/1/61,1.8,13.10952672
1/1/60,1.9,13.97455487
1/1/59,2.08,15.54338057
1/1/58,2.08,15.67944751
1/1/57,1.9,14.70373414
1/1/56,1.93,15.47879238
1/1/55,1.93,15.70605035
1/1/54,1.93,15.64292313
1/1/53,1.93,15.71867579
1/1/52,1.71,14.03877236
1/1/51,1.71,14.34080173
1/1/50,1.71,15.4780728
1/1/49,1.78,16.27469678
1/1/48,1.99,18.01249407
1/1/47,1.9,18.53606834
1/1/46,1.12,12.49199213
1/1/45,1.05,12.71179258
1/1/44,1.21,14.98655277
1/1/43,1.2,15.12174749
1/1/42,1.19,15.91172076
1/1/41,1.14,16.87387106
1/1/40,1.02,15.84944397
1/1/39,1.02,16.00291178
1/1/38,1.13,17.47738465
1/1/37,1.18,17.91107623
1/1/36,1.09,17.14393342
1/1/35,0.97,15.40035764
1/1/34,1,16.27569984
1/1/33,0.67,11.26704074
1/1/32,0.87,13.88098704
1/1/31,0.65,9.302159932
1/1/30,1.19,15.53287027
1/1/29,1.27,16.15339223
1/1/28,1.17,14.88147158
1/1/27,1.3,16.31385964
1/1/26,1.88,23.14960996
1/1/25,1.68,20.8847059
1/1/24,1.43,18.22588368
1/1/23,1.34,17.11386349
1/1/22,1.61,20.93080294
1/1/21,1.73,21.06867975
1/1/20,3.07,33.39795849
1/1/19,2.01,25.32892704
1/1/18,1.98,28.64667089
1/1/17,1.56,26.50924236
1/1/16,1.1,21.95213363
1/1/15,0.64,13.73648133
1/1/14,0.81,17.56009329
1/1/13,0.95,20.87482796
1/1/12,0.74,16.65288454
1/1/11,0.61,14.21764129
1/1/10,0.61,14.21764129
1/1/09,0.7,16.9195974
1/1/08,0.72,17.40301447
1/1/07,0.72,16.78147824
1/1/06,0.73,17.64472301
1/1/05,0.62,14.98592913
1/1/04,0.86,20.78693395
1903-01-01,0.94,22.72060223
1902-01-01,0.8,20.08040131
1901-01-01,0.96,25.06034084
1900-01-01,1.19,31.06438083
1899-01-01,1.29,33.674833
1898-01-01,0.91,23.75511475
1897-01-01,0.79,20.62257215
1896-01-01,1.18,30.80333561
1895-01-01,1.36,35.50214952
1894-01-01,0.84,21.08442138
1893-01-01,0.64,15.4693462
1892-01-01,0.56,13.53567792
1891-01-01,0.67,16.1944718
1890-01-01,0.87,21.02864249
1889-01-01,0.94,22.72060223
1888-01-01,0.88,21.27035102
1887-01-01,0.67,16.1944718
1886-01-01,0.71,17.16130594
1885-01-01,0.88,21.27035102
1884-01-01,0.84,20.30351688
1883-01-01,1,23.30760867
1882-01-01,0.78,17.55304046
1881-01-01,0.86,19.3533523
1880-01-01,0.95,21.37870312
1879-01-01,0.86,20.04454345
1878-01-01,1.19,26.77963865
1877-01-01,2.42,49.35386135
1876-01-01,2.56,52.20904341
1875-01-01,1.35,26.69780629
1874-01-01,1.17,22.45756647
1873-01-01,1.83,33.17449634
1872-01-01,3.64,65.98642987
1871-01-01,4.34,78.67612792
1870-01-01,3.86,66.29174591
1869-01-01,3.64,59.38778688
1868-01-01,3.63,59.22463362
1867-01-01,2.41,37.44755792
1866-01-01,3.74,55.47210863
1865-01-01,6.59,93.49391198
1864-01-01,8.06,111.9161941
1863-01-01,3.15,55.56029958
1862-01-01,1.05,22.84145649
1861-01-01,0.49,11.84371818
