"","X","name","year","year_prod","cum","investmentMillNOK","lon","lat","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real","total.oil","total.invest"
"1",1,"33/9-6 DELTA",2009,0.01022,0.01022,NA,NA,NA,NA,NA,61.6712648,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,-35.816704965067,1e-07,35.816704965067,-7.778731790394,1e-06,7.778731790394,0.98334873526,1885,2009,0.06743,NA,NA,NA,NA,NA,0.06743,0
"6",14,"ALBUSKJELL",1974,NA,NA,116,2.99301856064265,56.6307886616647,7.4,0,11.58,51.2340452592,16.1487694424,12.9300230208,12.0450645504,10.102970592,10.699571808,11.276547984,11.747548944,12.08902464,35.0852758168,35.0852758168,1e-07,39.1889807088,39.1889807088,1e-06,0.18944916643,97.16,1974,7.35406,"1979-05-26","1998-08-26","1975-04-25","1998-08-26",612.301453661244,7.35406,2752
"46",54,"ALVE",2006,NA,NA,46,7.8279060316489,65.9692400257618,1.9,0.8,65.1440625,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,9.587788390156,9.587788390156,1e-07,36.294685664494,36.294685664494,1e-06,0.8528632903,1614.19,2006,1.18061,"2009-03-19",NA,"2007-03-16",NA,53.9359596352414,1.18061,3864
"54",64,"ALVHEIM",2004,NA,NA,485,2.01022365575681,59.57465030336,37.2,17.5,38.265,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,25.939272647352,28.724588314534,10.004167723079,10.004167723079,1e-07,14.074292709827,14.074292709827,1e-06,0.78327904719,1516.6,2004,22.91645,"2008-06-08",NA,"2004-10-06",NA,619.191847068971,22.91645,17708
"64",75,"ÅSGARD",1996,NA,NA,2783,6.72853702489456,65.1163537968495,100.4,18.6,20.6684884,28.724588314534,24.347697563407,23.273012707498,25.610841986956,30.028683860653,32.025390331653,39.583454256594,32.050914207619,27.508311291084,4.376890751127,4.376890751127,1e-07,3.113746327578,3.113746327578,1e-06,0.67290533329,847.54,1996,84.66707,"1999-05-19",NA,"1996-06-14",NA,4135.79720997785,84.66707,65301
"82",85,"ATLA",2011,NA,NA,324,2.57787339304005,59.6705736401544,0.3,0.3,111.264166666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,31.7686330666667,31.7686330666667,1e-07,12.7646176363387,12.7646176363387,1e-06,1.03495856434,2219.45,2011,0.10694,"2012-10-07",NA,"2011-11-04",NA,313.056011287386,0.10694,324
"85",94,"BALDER",1990,NA,NA,0,2.44689453287195,59.3063099949198,72.1,16.2,23.7258203,39.583454256594,32.050914207619,27.508311291084,35.386187952521,28.709380291971,55.851518215613,60.40088238691,64.694325301205,74.500583626943,7.532540048975,7.532540048975,1e-07,4.197266304073,4.197266304073,1e-06,0.61968307593,481,1990,57.59553,"1999-10-02",NA,"1996-02-02",NA,0,57.59553,23198
"109",110,"BLANE",2005,NA,NA,51,2.47342668716996,56.8850501284256,0.8,0.3,54.5210895,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,25.939272647352,16.702729551259,16.702729551259,1e-07,30.543208995656,30.543208995656,1e-06,0.81315690914,1546.51,2005,0.59135,"2007-09-12",NA,"2005-07-01",NA,62.718522620607,0.59135,544
"118",121,"BØYLA",2011,NA,NA,85,1.84862660830767,59.3203265173592,3.4,3.4,111.264166666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,31.7686330666667,31.7686330666667,1e-07,12.7646176363387,12.7646176363387,1e-06,1.03495856434,2219.45,2011,0,NA,NA,"2012-10-26",NA,82.1288918500859,0,85
"121",144,"BRAGE",1989,NA,NA,0,3.01421616133709,60.5805765820626,59.3,4,18.2261133,32.050914207619,27.508311291084,35.386187952521,28.709380291971,55.851518215613,60.40088238691,64.694325301205,74.500583626943,86.190891969197,4.542602916535,4.542602916535,1e-07,3.341533915648,3.341533915648,1e-06,0.62060750447,447.98,1989,55.79709,"1993-09-23",NA,"1990-03-29",NA,0,55.79709,17062
